id	kind	claim_or_question	decision_or_result	evidence	verdict
SCOPE-001	decision	How are Postplan steps 3-13 delivered?	One PR, as explicitly requested by the user.	User request on 2026-08-23.	accepted
ARCH-001	decision	Where do durable catalog records live?	SQLite is the sole catalog authority. Versioned JSON files are bounded recovery journals or the Auto Import queue, never a second catalog model.	electron/catalog-v3-schema.ts; electron/catalog-live-repository.ts; electron/file-transaction-journal.ts; electron/auto-import-store.ts.	accepted
ARCH-002	decision	Does this PR require a v3 schema bump?	No. Store versioned, strictly parsed live-operation payloads in the existing JSON columns and add repository commands over the existing tables.	The merged schema already has indexed fingerprints, one enabled rule per catalog, presets, operation journals, items, and audit records.	accepted
BOUNDARY-001	decision	Who resolves native paths?	Electron resolves catalog, session, root, and asset capabilities before native I/O; renderer paths are display-only.	Postplan step 3 and catalog architecture reference.	accepted
BOUNDARY-002	finding	Which renderer-authoritative calls must leave the new API?	pick/scan/read/head/stat/decode/delete/sidecar/catalog calls that accept root, relative, or absolute paths must be replaced by catalog/session/root/asset IDs and picker grants.	electron/preload.ts and types/electron.d.ts on main commit 196bd43.	implementation-required
BOUNDARY-003	result	Did renderer-authoritative native paths leave the desktop API?	Yes. Catalog operations now accept catalog/session/root/asset IDs; native paths remain in Electron-owned runtime projections and picker results.	electron/preload.ts; types/electron.d.ts; electron/catalog-coordinator.ts; electron/native-asset-access.ts; electron/fs-service.ts.	pass
CATALOG-001	result	Can one local app manage several isolated catalogs and roots?	Yes. Registry-backed create/open/switch/close/rename, several roots, root relink, exact-confirmation deletion, portable clone-as-new, and read-only inspection are wired.	electron/catalog-coordinator.ts; components/catalog/CatalogManager.tsx; tests/catalog-coordinator.test.mts; tests/catalog-admin-service.test.mts.	pass
SCAN-001	result	Are native scan progress, cancellation, timeout, and stale-session rejection real?	Yes. Electron emits catalog/session/operation/sequence envelopes while native traversal checks AbortSignal at safe boundaries and only commits after current-session checks.	electron/library-scan.ts; electron/library-runtime.ts; lib/fs/session-catalog.ts; tests/library-runtime.test.mts.	pass
FORMAT-001	gate	Can Copy as DNG report supported?	No. Keep the action visible with a typed unavailable result until issue #89 supplies a qualified converter backend.	GitHub issue #89 is open and provides no packaged converter backend.	blocked-by-dependency
FORMAT-002	gate	Can packaged Nikon support be claimed?	Only when the packaged helper exists, passes its protocol probe, and returns native provenance. Test helpers stay simulated.	Postplan step 6 and Nikon proof reference.	accepted
FORMAT-003	result	Does one registry drive scan, view, Develop, export, and support claims?	Yes. Recognized unsupported formats keep explicit reasons; Nikon output cannot receive native production provenance without a qualified packaged command and checksum.	lib/formats/registry.ts; lib/formats/report.ts; electron/format-capability-service.ts; components/viewer/MetadataPanel.tsx; tests/formats.test.mts; tests/format-capability-service.test.mts.	pass-with-gated-backends
FINGERPRINT-001	result	Are duplicate proofs durable, bounded, cancellable, and resumable?	Yes. SHA-256 streams through verified no-follow handles, skips unrelated sizes inline, invalidates changed observations, persists progress outside the renderer, and applies live fingerprint transitions with revision retries.	electron/catalog-fingerprint-service.ts; electron/catalog-fingerprint-backfill-service.ts; electron/catalog-fingerprint-backfill-store.ts; electron/catalog-fingerprint-backfill-adapter.ts; tests/catalog-fingerprint-backfill-service.test.mts; tests/catalog-fingerprint-backfill-integration.test.mts.	pass
